Name;X-coordinate;Y-coordinate;Z-coordinate;X-velocity;Y-velocity;Z-velocity;mass
neptune;25.6128;15.3095;-0.904204;-0.592444;0.993884;-0.00681445;0.00203369
sun;0.014558;-0.00622084;-0.000368475;0.00152845;0.00269835;-5.27861e-05;39.4784
jupiter;-4.64381;2.70965;0.0925658;-1.43164;-2.23906;0.0413342;0.0376937
saturn;-9.45626;0.681916;0.364824;-0.262468;-2.02928;0.0456899;0.0112863
uranus;-8.62779;16.6261;0.173233;-1.28174;-0.722828;0.0139437;0.00172372
neptune;25.6069;15.3195;-0.904272;-0.592825;0.993656;-0.00680101;0.00203369
sun;0.0145731;-0.00619379;-0.000369;0.00151601;0.00270502;-5.2515e-05;39.4784
jupiter;-4.65801;2.68719;0.0929768;-1.41992;-2.2459;0.0411005;0.0376937
saturn;-9.45884;0.66162;0.365279;-0.258099;-2.02959;0.0455212;0.0112863
uranus;-8.6406;16.6188;0.173372;-1.28122;-0.723827;0.0139333;0.00172372
neptune;25.6009;15.3294;-0.90434;-0.593205;0.993429;-0.00678757;0.00203369
sun;0.0145882;-0.00616667;-0.000369523;0.00150354;0.00271164;-5.2243e-05;39.4784
jupiter;-4.67209;2.66466;0.0933855;-1.40817;-2.25267;0.0408659;0.0376937
saturn;-9.46138;0.641321;0.365732;-0.253729;-2.02989;0.0453523;0.0112863
uranus;-8.65341;16.6116;0.173511;-1.2807;-0.724826;0.0139229;0.00172372
neptune;25.595;15.3393;-0.904408;-0.593586;0.993201;-0.00677413;0.00203369
sun;0.0146031;-0.00613949;-0.000370042;0.00149104;0.00271819;-5.19701e-05;39.4784
jupiter;-4.68606;2.64207;0.0937918;-1.39639;-2.25939;0.0406304;0.0376937
saturn;-9.46387;0.621019;0.366184;-0.24936;-2.03018;0.0451833;0.0112863
uranus;-8.66621;16.6043;0.173651;-1.28018;-0.725824;0.0139125;0.00172372
neptune;25.5891;15.3493;-0.904476;-0.593966;0.992973;-0.00676069;0.00203369
sun;0.0146179;-0.00611224;-0.000370559;0.00147852;0.00272468;-5.16962e-05;39.4784
jupiter;-4.6999;2.61941;0.0941957;-1.38458;-2.26605;0.0403941;0.0376937
saturn;-9.46632;0.600715;0.366634;-0.244992;-2.03046;0.0450141;0.0112863
uranus;-8.67901;16.5971;0.17379;-1.27966;-0.726822;0.013902;0.00172372
neptune;25.5831;15.3592;-0.904543;-0.594346;0.992744;-0.00674725;0.00203369
sun;0.0146325;-0.00608493;-0.000371074;0.00146597;0.00273111;-5.14215e-05;39.4784
jupiter;-4.71363;2.59668;0.0945973;-1.37275;-2.27264;0.0401568;0.0376937
saturn;-9.46873;0.580407;0.367083;-0.240623;-2.03074;0.0448448;0.0112863
uranus;-8.6918;16.5898;0.173928;-1.27914;-0.72782;0.0138916;0.00172372
neptune;25.5772;15.3691;-0.904611;-0.594727;0.992516;-0.0067338;0.00203369
sun;0.0146471;-0.00605756;-0.000371585;0.00145339;0.00273748;-5.1146e-05;39.4784
jupiter;-4.72724;2.57389;0.0949965;-1.36088;-2.27917;0.0399187;0.0376937
saturn;-9.47109;0.560097;0.367529;-0.236256;-2.031;0.0446753;0.0112863
uranus;-8.70458;16.5825;0.174067;-1.27861;-0.728818;0.0138811;0.00172372
neptune;25.5712;15.379;-0.904678;-0.595107;0.992288;-0.00672036;0.00203369
sun;0.0146615;-0.00603012;-0.000372094;0.00144078;0.00274379;-5.08695e-05;39.4784
jupiter;-4.74073;2.55103;0.0953933;-1.34899;-2.28565;0.0396797;0.0376937
saturn;-9.47341;0.539785;0.367975;-0.231888;-2.03125;0.0445057;0.0112863
uranus;-8.71737;16.5752;0.174206;-1.27809;-0.729815;0.0138707;0.00172372
neptune;25.5653;15.3889;-0.904745;-0.595487;0.992059;-0.00670692;0.00203369
sun;0.0146757;-0.00600262;-0.0003726;0.00142815;0.00275003;-5.05922e-05;39.4784
jupiter;-4.7541;2.52811;0.0957877;-1.33708;-2.29206;0.0394398;0.0376937
saturn;-9.47569;0.51947;0.368418;-0.227521;-2.0315;0.0443359;0.0112863
